Season,RoundNum,RoundName,Day,Date,Winner,,Loser,,PtsWinner,PtsLoser
2004,1,WildCard,Sat,1/8/2005,St. Louis Rams,@,Seattle Seahawks,boxscore,27,20
2004,1,WildCard,Sun,1/9/2005,Indianapolis Colts,,Denver Broncos,boxscore,49,24
2004,1,WildCard,Sun,1/9/2005,Minnesota Vikings,@,Green Bay Packers,boxscore,31,17
2004,2,Division,Sat,1/15/2005,Atlanta Falcons,,St. Louis Rams,boxscore,47,17
2004,2,Division,Sat,1/15/2005,Pittsburgh Steelers,,New York Jets,boxscore,20,17
2004,2,Division,Sun,1/16/2005,New England Patriots,,Indianapolis Colts,boxscore,20,3
2004,2,Division,Sun,1/16/2005,Philadelphia Eagles,,Minnesota Vikings,boxscore,27,14
2004,3,ConfChamp,Sun,1/23/2005,New England Patriots,@,Pittsburgh Steelers,boxscore,41,27
2004,3,ConfChamp,Sun,1/23/2005,Philadelphia Eagles,,Atlanta Falcons,boxscore,27,10
2004,4,SuperBowl,Sun,2/6/2005,New England Patriots,N,Philadelphia Eagles,boxscore,24,21
2003,1,WildCard,Sat,1/3/2004,Carolina Panthers,,Dallas Cowboys,boxscore,29,10
2003,1,WildCard,Sat,1/3/2004,Tennessee Titans,@,Baltimore Ravens,boxscore,20,17
2003,1,WildCard,Sun,1/4/2004,Indianapolis Colts,,Denver Broncos,boxscore,41,10
2003,1,WildCard,Sun,1/4/2004,Green Bay Packers,,Seattle Seahawks,boxscore,33,27
2003,2,Division,Sat,1/10/2004,New England Patriots,,Tennessee Titans,boxscore,17,14
2003,2,Division,Sat,1/10/2004,Carolina Panthers,@,St. Louis Rams,boxscore,29,23
2003,2,Division,Sun,1/11/2004,Philadelphia Eagles,,Green Bay Packers,boxscore,20,17
2003,2,Division,Sun,1/11/2004,Indianapolis Colts,@,Kansas City Chiefs,boxscore,38,31
2003,3,ConfChamp,Sun,1/18/2004,New England Patriots,,Indianapolis Colts,boxscore,24,14
2003,3,ConfChamp,Sun,1/18/2004,Carolina Panthers,@,Philadelphia Eagles,boxscore,14,3
2003,4,SuperBowl,Sun,2/1/2004,New England Patriots,N,Carolina Panthers,boxscore,32,29
